Country,Date,foreignlongterm,foreignshortterm,foreignoutlookWatch,locallongterm,localoutlookWatch
Israel,18/12/2006,A-,F1,positive,A,positive
Israel,14/02/2005,A-,F1,stable,A,stable
Israel,16/12/2003,A-,F1,stable,A,negative
Israel,22/10/2002,A-,F1,negative,A,negative
Israel,22/10/2001,A-,F1,negative,A+,negative
Israel,21/05/2001,A-,F1,Rating Watch negative,A+,Rating Watch negative
Israel,21/09/2000,A-,F1,stable,A+,stable
Israel,6/05/1999,A-,F1,,A+,
Israel,11/12/1995,A-,F2,,-,
Israel,24/11/1995,BBB+,F2,,-,
Italy,27/01/2012,A-,F2,negative,A-,negative
Italy,16/12/2011,A+,F1,Rating Watch negative,A+,Rating Watch negative
Italy,7/10/2011,A+,F1,negative,A+,negative
Italy,19/10/2006,AA-,F1+,stable,AA-,stable
Italy,25/05/2006,AA,F1+,Rating Watch negative,AA,Rating Watch negative
Italy,29/06/2005,AA,F1+,negative,AA,negative
Italy,17/06/2002,AA,F1+,stable,AA,stable
Italy,21/09/2000,AA-,F1+,stable,AA-,stable
Italy,14/07/1998,AA-,F1+,,AA-,
Italy,26/10/1995,AA-,F1+,,AAA,
Italy,23/02/1995,AA-,,,-,
Italy,10/08/1994,AA,,,-,
Jamaica,16/02/2010,B-,B,stable,B-,stable
Jamaica,3/02/2010,CCC,C,Rating Watch positive,CCC,Rating Watch positive
Jamaica,3/02/2010,RD,D,,RD,
Jamaica,14/01/2010,CCC,C,negative,C,negative
Jamaica,24/11/2009,CCC,C,negative,CCC,negative
Jamaica,18/11/2008,B,B,negative,B,negative
Jamaica,29/08/2006,B+,B+,stable,B+,stable
Japan,22/05/2012,A+,F1+,negative,A+,negative
Japan,27/05/2011,AA,F1+,negative,AA-,negative
Japan,9/05/2005,AA,F1+,stable,AA-,stable
Japan,21/11/2002,AA,F1+,negative,AA-,negative
Japan,26/11/2001,AA,F1+,negative,AA,negative
Japan,2/03/2001,AA+,F1+,negative,AA+,negative
Japan,21/09/2000,AA+,F1+,stable,AA+,stable
Japan,29/06/2000,AA+,F1+,,AA+,
Japan,21/09/1998,AA+,F1+,,AAA,
Japan,1/09/1998,AAA,F1+,Rating Watch negative,AAA,Rating Watch negative
Japan,26/10/1995,AAA,F1+,,AAA,
Japan,10/08/1994,AAA,,,-,
Kazakhstan,21/11/2011,BBB,F3,positive,BBB+,positive
Kazakhstan,20/12/2010,BBB-,F3,positive,BBB,positive
Kazakhstan,16/12/2009,BBB-,F3,stable,BBB,stable
Kazakhstan,5/06/2009,BBB-,F3,negative,BBB,negative
Kazakhstan,19/02/2009,BBB-,F3,Rating Watch negative,BBB,Rating Watch negative
Kazakhstan,9/11/2008,BBB-,F3,negative,BBB,negative
Kazakhstan,17/12/2007,BBB,F3,negative,BBB+,negative
Kazakhstan,8/10/2007,BBB,F3,stable,BBB+,stable
Kazakhstan,21/12/2006,BBB,F3,positive,BBB+,positive
Kazakhstan,20/12/2005,BBB,F3,stable,BBB+,stable
Kazakhstan,27/10/2004,BBB-,F3,stable,BBB,stable
Kazakhstan,19/11/2003,BB+,B,positive,BBB-,positive
Kazakhstan,11/10/2002,BB+,B,stable,BBB-,stable
Kazakhstan,12/07/2001,BB,B,stable,BB+,stable
Kazakhstan,21/09/2000,BB-,B,stable,BB,stable
Kazakhstan,5/05/2000,BB-,B,,BB,
Kazakhstan,15/02/1999,BB-,B,,BBB-,
Kazakhstan,27/01/1998,BB,B,,BBB-,
